sample_index_at_1MHz,D0,D1,D2,D3,D4,D5,D6,D7
0,0,0,0,0,0,0,0,0
3108909,0,0,0,0,0,0,1,0
3109440,0,0,0,0,0,0,0,0
3109448,0,0,0,0,0,0,0,1
3109974,0,0,0,0,0,0,1,1
3109982,0,0,0,0,0,0,1,0
3110501,0,0,0,0,0,0,0,0
3110508,0,0,0,0,0,0,0,1
3111030,0,0,0,0,0,0,1,1
3111038,0,0,0,0,0,0,1,0
3111555,0,0,0,0,0,0,0,0
3111563,0,0,0,0,0,0,0,1
3112084,0,0,0,0,0,0,1,1
3112092,0,0,0,0,0,0,1,0
3112609,0,0,0,0,0,0,0,0
3112616,0,0,0,0,0,0,0,1
3113136,0,0,0,0,0,0,1,1
3113144,0,0,0,0,0,0,1,0
3113661,0,0,0,0,0,0,0,0
3113669,0,0,0,0,0,0,0,1
3114189,0,0,0,0,0,0,1,1
3114197,0,0,0,0,0,0,1,0
3114714,0,0,0,0,0,0,0,0
3114722,0,0,0,0,0,0,0,1
3115243,0,0,0,0,0,0,1,1
3115251,0,0,0,0,0,0,1,0
3115769,0,0,0,0,0,0,0,0
3115776,0,0,0,0,0,0,0,1
3116297,0,0,0,0,0,0,1,1
3116306,0,0,0,0,0,0,1,0
3116822,0,0,0,0,0,0,0,0
3116830,0,0,0,0,0,0,0,1
3117350,0,0,0,0,0,0,1,1
3117359,0,0,0,0,0,0,1,0
3117875,0,0,0,0,0,0,0,0
3117882,0,0,0,0,0,0,0,1
3118403,0,0,0,0,0,0,1,1
3118411,0,0,0,0,0,0,1,0
3118928,0,0,0,0,0,0,0,0
3118935,0,0,0,0,0,0,0,1
3119456,0,0,0,0,0,0,1,1
3119464,0,0,0,0,0,0,1,0
3119982,0,0,0,0,0,0,0,0
3119989,0,0,0,0,0,0,0,1
3120511,0,0,0,0,0,0,1,1
3120519,0,0,0,0,0,0,1,0
3121035,0,0,0,0,0,0,0,0
3121043,0,0,0,0,0,0,0,1
3121563,0,0,0,0,0,0,1,1
3121571,0,0,0,0,0,0,1,0
3122088,0,0,0,0,0,0,0,0
3122096,0,0,0,0,0,0,0,1
3122616,0,0,0,0,0,0,1,1
3122624,0,0,0,0,0,0,1,0
3123142,0,0,0,0,0,0,0,0
3123150,0,0,0,0,0,0,0,1
3123670,0,0,0,0,0,0,1,1
3123678,0,0,0,0,0,0,1,0
3124195,0,0,0,0,0,0,0,0
3124203,0,0,0,0,0,0,0,1
3124723,0,0,0,0,0,0,1,1
