sample_index_at_1MHz,D0,D1,D2,D3,D4,D5,D6,D7
0,0,0,0,0,0,0,0,0
3112224,1,0,0,0,0,0,0,0
3117246,0,0,0,0,0,0,0,0
3122264,1,0,0,0,0,0,0,0
3127275,0,0,0,0,0,0,0,0
3132287,1,0,0,0,0,0,0,0
3137297,0,0,0,0,0,0,0,0
3142309,1,0,0,0,0,0,0,0
3147319,0,0,0,0,0,0,0,0
3152331,1,0,0,0,0,0,0,0
3157341,0,0,0,0,0,0,0,0
3462404,0,1,0,0,0,0,0,0
3467414,0,0,0,0,0,0,0,0
3472427,0,1,0,0,0,0,0,0
3477436,0,0,0,0,0,0,0,0
3482447,0,1,0,0,0,0,0,0
3487455,0,0,0,0,0,0,0,0
3492468,0,1,0,0,0,0,0,0
3497476,0,0,0,0,0,0,0,0
3502488,0,1,0,0,0,0,0,0
3507497,0,0,0,0,0,0,0,0
3511516,0,1,0,0,0,0,0,0
3516526,0,0,0,0,0,0,0,0
3521539,0,1,0,0,0,0,0,0
3526547,0,0,0,0,0,0,0,0
3531560,0,1,0,0,0,0,0,0
3536569,0,0,0,0,0,0,0,0
3541582,0,1,0,0,0,0,0,0
3546592,0,0,0,0,0,0,0,0
3551605,0,1,0,0,0,0,0,0
3556614,0,0,0,0,0,0,0,0
3861673,0,0,0,1,0,0,0,0
3866683,0,0,0,0,0,0,0,0
3871694,0,0,0,1,0,0,0,0
3876704,0,0,0,0,0,0,0,0
3881717,0,0,0,1,0,0,0,0
3886726,0,0,0,0,0,0,0,0
3891738,0,0,0,1,0,0,0,0
3896748,0,0,0,0,0,0,0,0
3901760,0,0,0,1,0,0,0,0
3906769,0,0,0,0,0,0,0,0
3911781,0,0,0,1,0,0,0,0
3916790,0,0,0,0,0,0,0,0
3921801,0,0,0,1,0,0,0,0
3926811,0,0,0,0,0,0,0,0
3931823,0,0,0,1,0,0,0,0
3936833,0,0,0,0,0,0,0,0
3941845,0,0,0,1,0,0,0,0
3946855,0,0,0,0,0,0,0,0
3951867,0,0,0,1,0,0,0,0
3956878,0,0,0,0,0,0,0,0
3961890,0,0,0,1,0,0,0,0
3966897,0,0,0,0,0,0,0,0
3971909,0,0,0,1,0,0,0,0
3976919,0,0,0,0,0,0,0,0
3981931,0,0,0,1,0,0,0,0
3986941,0,0,0,0,0,0,0,0
3991953,0,0,0,1,0,0,0,0
3996963,0,0,0,0,0,0,0,0
4001976,0,0,0,1,0,0,0,0
4006985,0,0,0,0,0,0,0,0
4011997,0,0,0,1,0,0,0,0
4017007,0,0,0,0,0,0,0,0
4022019,0,0,0,1,0,0,0,0
4027028,0,0,0,0,0,0,0,0
4032041,0,0,0,1,0,0,0,0
4037051,0,0,0,0,0,0,0,0
4042063,0,0,0,1,0,0,0,0
4047072,0,0,0,0,0,0,0,0
4052084,0,0,0,1,0,0,0,0
4057094,0,0,0,0,0,0,0,0
4362151,0,0,1,0,0,0,0,0
4367162,0,0,0,0,0,0,0,0
4372174,0,0,1,0,0,0,0,0
4377183,0,0,0,0,0,0,0,0
4382195,0,0,1,0,0,0,0,0
4387204,0,0,0,0,0,0,0,0
4392217,0,0,1,0,0,0,0,0
4397226,0,0,0,0,0,0,0,0
4402238,0,0,1,0,0,0,0,0
4407249,0,0,0,0,0,0,0,0
4412260,0,0,1,0,0,0,0,0
4417270,0,0,0,0,0,0,0,0
4422282,0,0,1,0,0,0,0,0
4427291,0,0,0,0,0,0,0,0
4432303,0,0,1,0,0,0,0,0
4437314,0,0,0,0,0,0,0,0
4442325,0,0,1,0,0,0,0,0
4447334,0,0,0,0,0,0,0,0
4452347,0,0,1,0,0,0,0,0
4457357,0,0,0,0,0,0,0,0
4462369,0,0,1,0,0,0,0,0
4467379,0,0,0,0,0,0,0,0
4472392,0,0,1,0,0,0,0,0
4477401,0,0,0,0,0,0,0,0
4482414,0,0,1,0,0,0,0,0
4487422,0,0,0,0,0,0,0,0
4492435,0,0,1,0,0,0,0,0
4497444,0,0,0,0,0,0,0,0
4502457,0,0,1,0,0,0,0,0
4507467,0,0,0,0,0,0,0,0
4512479,0,0,1,0,0,0,0,0
4517488,0,0,0,0,0,0,0,0
4522501,0,0,1,0,0,0,0,0
4527511,0,0,0,0,0,0,0,0
4532522,0,0,1,0,0,0,0,0
4537531,0,0,0,0,0,0,0,0
4542544,0,0,1,0,0,0,0,0
4547553,0,0,0,0,0,0,0,0
4551574,0,0,1,0,0,0,0,0
4556583,0,0,0,0,0,0,0,0
4561596,0,0,1,0,0,0,0,0
4566605,0,0,0,0,0,0,0,0
4571617,0,0,1,0,0,0,0,0
4576626,0,0,0,0,0,0,0,0
4581639,0,0,1,0,0,0,0,0
4586649,0,0,0,0,0,0,0,0
4591661,0,0,1,0,0,0,0,0
4596670,0,0,0,0,0,0,0,0
4601681,0,0,1,0,0,0,0,0
4606691,0,0,0,0,0,0,0,0
4611703,0,0,1,0,0,0,0,0
4616711,0,0,0,0,0,0,0,0
4621724,0,0,1,0,0,0,0,0
4626734,0,0,0,0,0,0,0,0
4631747,0,0,1,0,0,0,0,0
4636755,0,0,0,0,0,0,0,0
4641768,0,0,1,0,0,0,0,0
4646777,0,0,0,0,0,0,0,0
4651789,0,0,1,0,0,0,0,0
4656799,0,0,0,0,0,0,0,0
4661811,0,0,1,0,0,0,0,0
4666820,0,0,0,0,0,0,0,0
4671833,0,0,1,0,0,0,0,0
4676842,0,0,0,0,0,0,0,0
4681855,0,0,1,0,0,0,0,0
4686864,0,0,0,0,0,0,0,0
4691876,0,0,1,0,0,0,0,0
4696886,0,0,0,0,0,0,0,0
4701898,0,0,1,0,0,0,0,0
4706907,0,0,0,0,0,0,0,0
4711920,0,0,1,0,0,0,0,0
4716929,0,0,0,0,0,0,0,0
4721941,0,0,1,0,0,0,0,0
4726949,0,0,0,0,0,0,0,0
4731961,0,0,1,0,0,0,0,0
4736971,0,0,0,0,0,0,0,0
4741983,0,0,1,0,0,0,0,0
4746994,0,0,0,0,0,0,0,0
4752006,0,0,1,0,0,0,0,0
4757015,0,0,0,0,0,0,0,0
